Time period;Average power, day;Average power, night;Average power;Temperature
25.1. 06:00:00;;3,740;3,740;
25.1. 07:00:00;3,770;;3,770;
25.1. 08:00:00;2,400;;2,400;
25.1. 09:00:00;3,420;;3,420;
25.1. 10:00:00;2,780;;2,780;
25.1. 11:00:00;2,280;;2,280;
25.1. 12:00:00;2,850;;2,850;
25.1. 13:00:00;2,920;;2,920;
25.1. 14:00:00;3,370;;3,370;
25.1. 15:00:00;3,930;;3,930;
25.1. 16:00:00;3,590;;3,590;
25.1. 17:00:00;2,400;;2,400;
25.1. 18:00:00;2,730;;2,730;
25.1. 19:00:00;2,560;;2,560;
25.1. 20:00:00;2,290;;2,290;
25.1. 21:00:00;3,010;;3,010;
25.1. 22:00:00;;4,420;4,420;
25.1. 23:00:00;;7,490;7,490;
26.1. 00:00:00;;5,060;5,060;1,9
26.1. 01:00:00;;3,590;3,590;
26.1. 02:00:00;;3,680;3,680;
26.1. 03:00:00;;3,040;3,040;
26.1. 04:00:00;;1,730;1,730;
26.1. 05:00:00;;1,500;1,500;
26.1. 06:00:00;;2,600;2,600;
26.1. 07:00:00;3,410;;3,410;
26.1. 08:00:00;2,220;;2,220;
26.1. 09:00:00;1,600;;1,600;
26.1. 10:00:00;2,040;;2,040;
26.1. 11:00:00;2,750;;2,750;
26.1. 12:00:00;2,010;;2,010;
26.1. 13:00:00;1,510;;1,510;
26.1. 14:00:00;1,530;;1,530;
26.1. 15:00:00;2,240;;2,240;
26.1. 16:00:00;3,270;;3,270;
26.1. 17:00:00;2,440;;2,440;
26.1. 18:00:00;1,850;;1,850;
26.1. 19:00:00;1,580;;1,580;
26.1. 20:00:00;3,110;;3,110;
26.1. 21:00:00;4,640;;4,640;
26.1. 22:00:00;;2,620;2,620;
26.1. 23:00:00;;3,020;3,020;
27.1. 00:00:00;;2,240;2,240;-1,8
27.1. 01:00:00;;1,780;1,780;
27.1. 02:00:00;;2,770;2,770;
27.1. 03:00:00;;2,470;2,470;
27.1. 04:00:00;;1,950;1,950;
27.1. 05:00:00;;1,760;1,760;
27.1. 06:00:00;;2,760;2,760;
27.1. 07:00:00;2,930;;2,930;
27.1. 08:00:00;2,000;;2,000;
27.1. 09:00:00;1,500;;1,500;
27.1. 10:00:00;1,690;;1,690;
27.1. 11:00:00;1,880;;1,880;
27.1. 12:00:00;2,620;;2,620;
27.1. 13:00:00;2,480;;2,480;
27.1. 14:00:00;1,760;;1,760;
27.1. 15:00:00;1,550;;1,550;
27.1. 16:00:00;2,090;;2,090;
27.1. 17:00:00;2,520;;2,520;
27.1. 18:00:00;1,840;;1,840;
27.1. 19:00:00;1,520;;1,520;
27.1. 20:00:00;2,540;;2,540;
27.1. 21:00:00;4,700;;4,700;
27.1. 22:00:00;;5,860;5,860;
27.1. 23:00:00;;6,260;6,260;
28.1. 00:00:00;;3,860;3,860;-0,4
28.1. 01:00:00;;2,610;2,610;
28.1. 02:00:00;;3,430;3,430;
28.1. 03:00:00;;3,380;3,380;
28.1. 04:00:00;;2,030;2,030;
28.1. 05:00:00;;1,920;1,920;
