Time period;Average power, day;Average power, night;Average power;Temperature
21.1. 17:00:00;3,920;;3,920;
21.1. 18:00:00;3,930;;3,930;
21.1. 19:00:00;4,220;;4,220;
21.1. 20:00:00;3,460;;3,460;
21.1. 21:00:00;3,730;;3,730;
21.1. 22:00:00;;6,580;6,580;
21.1. 23:00:00;;5,860;5,860;
22.1. 00:00:00;;5,060;5,060;-21,1
22.1. 01:00:00;;6,200;6,200;
22.1. 02:00:00;;5,940;5,940;
22.1. 03:00:00;;5,870;5,870;
22.1. 04:00:00;;4,830;4,830;
22.1. 05:00:00;;7,760;7,760;
22.1. 06:00:00;;7,080;7,080;
22.1. 07:00:00;5,090;;5,090;
22.1. 08:00:00;4,050;;4,050;
22.1. 09:00:00;4,240;;4,240;
22.1. 10:00:00;4,680;;4,680;
22.1. 11:00:00;4,560;;4,560;
22.1. 12:00:00;3,860;;3,860;
22.1. 13:00:00;3,300;;3,300;
22.1. 14:00:00;3,530;;3,530;
22.1. 15:00:00;4,580;;4,580;
22.1. 16:00:00;5,090;;5,090;
22.1. 17:00:00;4,660;;4,660;
22.1. 18:00:00;3,880;;3,880;
22.1. 19:00:00;4,520;;4,520;
22.1. 20:00:00;5,030;;5,030;
22.1. 21:00:00;3,160;;3,160;
22.1. 22:00:00;;5,850;5,850;
22.1. 23:00:00;;7,080;7,080;
23.1. 00:00:00;;6,570;6,570;-5,4
23.1. 01:00:00;;6,490;6,490;
23.1. 02:00:00;;5,200;5,200;
23.1. 03:00:00;;3,440;3,440;
23.1. 04:00:00;;3,590;3,590;
23.1. 05:00:00;;2,370;2,370;
23.1. 06:00:00;;1,860;1,860;
23.1. 07:00:00;2,470;;2,470;
23.1. 08:00:00;3,690;;3,690;
23.1. 09:00:00;3,980;;3,980;
23.1. 10:00:00;3,170;;3,170;
23.1. 11:00:00;3,830;;3,830;
23.1. 12:00:00;5,090;;5,090;
23.1. 13:00:00;3,670;;3,670;
23.1. 14:00:00;2,500;;2,500;
23.1. 15:00:00;2,120;;2,120;
23.1. 16:00:00;4,270;;4,270;
23.1. 17:00:00;4,390;;4,390;
23.1. 18:00:00;3,440;;3,440;
23.1. 19:00:00;3,290;;3,290;
23.1. 20:00:00;2,480;;2,480;
23.1. 21:00:00;2,530;;2,530;
23.1. 22:00:00;;3,360;3,360;
23.1. 23:00:00;;2,510;2,510;
24.1. 00:00:00;;2,720;2,720;-2,8
24.1. 01:00:00;;3,530;3,530;
24.1. 02:00:00;;3,810;3,810;
24.1. 03:00:00;;2,990;2,990;
24.1. 04:00:00;;2,080;2,080;
24.1. 05:00:00;;1,760;1,760;
24.1. 06:00:00;;1,760;1,760;
24.1. 07:00:00;1,710;;1,710;
24.1. 08:00:00;2,020;;2,020;
24.1. 09:00:00;2,890;;2,890;
24.1. 10:00:00;3,410;;3,410;
24.1. 11:00:00;2,310;;2,310;
24.1. 12:00:00;2,330;;2,330;
24.1. 13:00:00;1,870;;1,870;
24.1. 14:00:00;2,210;;2,210;
24.1. 15:00:00;2,250;;2,250;
24.1. 16:00:00;3,510;;3,510;
24.1. 17:00:00;4,990;;4,990;
24.1. 18:00:00;3,610;;3,610;
24.1. 19:00:00;4,400;;4,400;
24.1. 20:00:00;1,780;;1,780;
24.1. 21:00:00;1,600;;1,600;
24.1. 22:00:00;;3,820;3,820;
24.1. 23:00:00;;4,280;4,280;
25.1. 00:00:00;;3,610;3,610;-2,2
25.1. 01:00:00;;2,500;2,500;
25.1. 02:00:00;;1,900;1,900;
25.1. 03:00:00;;1,650;1,650;
25.1. 04:00:00;;2,040;2,040;
25.1. 05:00:00;;2,560;2,560;
25.1. 06:00:00;;2,120;2,120;
25.1. 07:00:00;1,890;;1,890;
25.1. 08:00:00;1,990;;1,990;
25.1. 09:00:00;2,570;;2,570;
25.1. 10:00:00;2,080;;2,080;
25.1. 11:00:00;1,700;;1,700;
25.1. 12:00:00;1,340;;1,340;
25.1. 13:00:00;2,000;;2,000;
25.1. 14:00:00;1,960;;1,960;
25.1. 15:00:00;1,560;;1,560;
25.1. 16:00:00;2,300;;2,300;
25.1. 17:00:00;2,460;;2,460;
25.1. 18:00:00;2,700;;2,700;
25.1. 19:00:00;2,130;;2,130;
25.1. 20:00:00;2,150;;2,150;
25.1. 21:00:00;2,290;;2,290;
25.1. 22:00:00;;3,460;3,460;
25.1. 23:00:00;;2,590;2,590;
26.1. 00:00:00;;2,590;2,590;0,1
26.1. 01:00:00;;2,890;2,890;
26.1. 02:00:00;;3,350;3,350;
26.1. 03:00:00;;3,920;3,920;
26.1. 04:00:00;;4,130;4,130;
26.1. 05:00:00;;3,280;3,280;
26.1. 06:00:00;;2,420;2,420;
26.1. 07:00:00;2,840;;2,840;
26.1. 08:00:00;2,120;;2,120;
26.1. 09:00:00;2,050;;2,050;
26.1. 10:00:00;2,140;;2,140;
26.1. 11:00:00;1,850;;1,850;
26.1. 12:00:00;1,500;;1,500;
26.1. 13:00:00;1,270;;1,270;
26.1. 14:00:00;1,650;;1,650;
26.1. 15:00:00;1,770;;1,770;
26.1. 16:00:00;1,940;;1,940;
26.1. 17:00:00;3,890;;3,890;
26.1. 18:00:00;2,500;;2,500;
26.1. 19:00:00;2,090;;2,090;
26.1. 20:00:00;1,680;;1,680;
26.1. 21:00:00;1,630;;1,630;
26.1. 22:00:00;;2,580;2,580;
26.1. 23:00:00;;1,030;1,030;
27.1. 00:00:00;;1,040;1,040;1,3
27.1. 01:00:00;;2,290;2,290;
27.1. 02:00:00;;1,720;1,720;
27.1. 03:00:00;;1,960;1,960;
27.1. 04:00:00;;1,090;1,090;
27.1. 05:00:00;;2,210;2,210;
27.1. 06:00:00;;3,140;3,140;
27.1. 07:00:00;1,310;;1,310;
27.1. 08:00:00;1,000;;1,000;
27.1. 09:00:00;1,630;;1,630;
27.1. 10:00:00;1,860;;1,860;
27.1. 11:00:00;2,130;;2,130;
27.1. 12:00:00;0,970;;0,970;
27.1. 13:00:00;1,010;;1,010;
27.1. 14:00:00;1,170;;1,170;
27.1. 15:00:00;1,610;;1,610;
27.1. 16:00:00;1,620;;1,620;
27.1. 17:00:00;2,020;;2,020;
27.1. 18:00:00;1,900;;1,900;
27.1. 19:00:00;2,390;;2,390;
27.1. 20:00:00;2,230;;2,230;
27.1. 21:00:00;1,920;;1,920;
27.1. 22:00:00;;3,520;3,520;
27.1. 23:00:00;;3,060;3,060;
28.1. 00:00:00;;2,590;2,590;1,4
28.1. 01:00:00;;3,220;3,220;
28.1. 02:00:00;;3,310;3,310;
28.1. 03:00:00;;3,070;3,070;
28.1. 04:00:00;;1,320;1,320;
28.1. 05:00:00;;1,190;1,190;
